"","y","DisputedAccountsExcluded","PublicRecordsCount","InstallmentBalance","RealEstateBalance","RevolvingBalance","PastDueAmount","MonthlyPayment","RealEstatePayment","RevolvingAvailablePercent","TotalInquiries","InquiriesDuringLast6Months","TotalTradeItems","PaidAccounts","SatisfactoryAccounts","NowDelinquentDerog","PctNegTradesNow","PctNegTradesWas","PctNegTradesTotal","WasDelinquentDerog","OldesttradeopenYearsAgo","DelinquenciesOver30Days","DelinquenciesOver60Days","DelinquenciesOver90Days","DerogCounter","SocialCount","AddressCount","SSN.years.ago","FICO2.SCORE","VantageScore3.SCORE","TIB","SSN.Missing","FICO700","FS1","FS2","FS3","FS4","FS9","FS10","FS11","FS12","FS13","FS16","FS17","FS19","FS20","FS27","BusinessRecordTimeOldest","BusinessRecordTimeNewest","BusinessActivity03Month","BusinessActivity06Month","BusinessActivity12Month","BusinessAddrCount","FirmAgeEstablished","FirmEmployeeCount","FirmReportedSales","FirmReportedEarnings","OrgLocationCount","OrgRelatedCount","OrgLegalEntityCount","OrgAddrLegalEntityCount","SOSTimeIncorporation","SOSTimeAgentChange","SOSEverDefunct","SOSStateCount","BankruptcyCount","BankruptcyCount12Month","BankruptcyCount24Month","BankruptcyTimeNewest","LienCount","LienCount12Month","LienCount24Month","LienTimeNewest","LienTimeOldest","LienDollarTotal","JudgmentCount","JudgmentCount12Month","JudgmentCount24Month","JudgmentTimeNewest","JudgmentTimeOldest","JudgmentDollarTotal","LienJudgmentDollarTotal","AssetPropertyCount","AssetPropertyStateCount","AssetPropertyLotSizeTotal","AssetPropertyAssessedTotal","AssetPropertySqFootageTotal","AssetAircraftCount","AssetWatercraftCount","UCCCount","UCCTimeNewest","UCCTimeOldest","InquiryHighRisk12Month","InquiryHighRisk03Month","InquiryCredit12Month","InquiryCredit03Month","Inquiry12Month","Inquiry03Month","InquiryConsumerAddress","InquiryConsumerPhone","InquiryConsumerAddressSSN","BusExecLinkPropertyOverlapCount","BusExecLinkBusAddrAuthRepOwned","BusExecLinkUtilityOverlapCount","BusExecLinkInquiryOverlapCount","BusExecLinkPropertyOverlapCount2","BusExecLinkBusAddrAuthRep2Owned","BusExecLinkUtilityOverlapCount2","BusExecLinkInquiryOverlapCount2","BusExecLinkPropertyOverlapCount3","BusExecLinkUtilityOverlapCount3","BusExecLinkInquiryOverlapCount3","InputAddrConsumerCount","InputAddrSourceCount","InputAddrLotSize","InputAddrAssessedTotal","InputAddrSqFootage","InputPhoneEntityCount","AssociateCount","AssociateHighCrimeAddrCount","AssociateFelonyCount","AssociateCountWithFelony","AssociateBankruptCount","AssociateCountWithBankruptcy","AssociateBankrupt1YearCount","AssociateLienCount","AssociateCountWithLien","AssociateJudgmentCount","AssociateCountWithJudgment","AssociateHighRiskAddrCount","AssociateWatchlistCount","AssociateBusinessCount","AssociateCityCount","AssociateCountyCount","InputCheckAuthRepPhone","InputCheckAuthRep2FirstName","InputCheckAuthRep2LastName","InputCheckAuthRep2Addr","InputCheckAuthRep2City","InputCheckAuthRep2State","InputCheckAuthRep2SSN","InputCheckAuthRep2Phone","VerificationBusInputName","VerificationBusInputAddr","VerificationBusInputPhone","VerificationBusInputFEIN","BusinessRecordUpdated12Month","FirmIRSRetirementPlan","FirmNonProfit","OrgParentCompany","OrgSingleLocation","SOSForeignStateFlag","BankruptcyChapter","LienType","JudgmentType","GovernmentDebarred","BusExecLinkAuthRepNameOnFile","BusExecLinkAuthRepAddrOnFile","BusExecLinkAuthRepSSNOnFile","BusExecLinkAuthRepPhoneOnFile","BusExecLinkBusNameAuthRepFirst","BusExecLinkBusNameAuthRepLast","BusExecLinkBusNameAuthRepFull","BusExecLinkAuthRepSSNBusFEIN","BusExecLinkAuthRepAddrBusAddr","BusExecLinkAuthRepPhoneBusPhone","BusExecLinkAuthRep2NameOnFile","BusExecLinkAuthRep2AddrOnFile","BusExecLinkAuthRep2PhoneOnFile","BusExecLinkAuthRep2SSNOnFile","BusExecLinkBusNameAuthRep2First","BusExecLinkBusNameAuthRep2Last","BusExecLinkBusNameAuthRep2Full","BusExecLinkAuthRep2SSNBusFEIN","BusExecLinkAuthRep2AddrBusAddr","BusExecLinkAuthRep2PhoneBusPhone","BusFEINPersonOverlap","BusFEINPersonAddrOverlap","BusFEINPersonPhoneOverlap","BusAddrPersonNameOverlap","InputAddrType","InputAddrBusinessOwned","InputPhoneProblems","InputPhoneMobile","IP224_SCORE","IP224_SCOREind","IP224Missing","HRD_SSN2","SSNAddressVariance","SecurityStatementPresent"
"11",0,0,0,31702,0,0,0,960,0,0,21,15,5,4,5,0,0,0,0,0,5,0,0,0,0,8,5,11,670,619,3.194520548,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,312,1,2,4,4,3,20,1,164,-1,4,1,1,1,154,0,2,1,0,0,0,-1,2,0,0,63,81,1487,0,0,0,-1,-1,-1,1486,0,0,0,-1,0,0,0,1,151,151,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,8,0,1,2,1,1,1,1,1,1,1,2,3,2,2,3,2,2,3,2,2,2,5,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,6,3,27,2,1,1,1,1
"12",0,0,1,26256,0,11860,940,929,0,9,15,1,14,7,8,1,0.071428571,0.357142857,0.428571429,5,14,26,10,8,2,0,0,33,566,640,1.01369863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,1,1,2,2,4,-1,-1,-1,-1,2,1,1,1,60,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,1,0,0,30,30,18029,18028,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,6,4,107593,982284,7500,0,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0,1,2,1,1,1,1,1,1,1,3,4,4,2,3,2,2,3,2,2,2,1,2,2,5,4,4,3,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,2,6,3,6,2,1,1,1,1
"13",0,0,3,45137,0,753,622,1091,0,70,14,7,8,0,4,3,0.375,0.125,0.5,1,6,2,2,7,77,5,2,29,632,635,0.824657534,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,75,11,1,1,1,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4,0,19602,161166,1740,0,1,0,0,0,0,0,0,3,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,2,2,3,3,1,2,1,1,2,4,1,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,6,3,27,2,1,1,1,1
"14",0,0,20,22126,265292,5984,9356,1469,3459,46,24,11,19,12,14,1,0.052631579,0.210526316,0.263157895,4,35,46,4,1,0,6,6,39,559,567,7.068493151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82,7,1,1,0,1,-1,-1,-1,-1,1,1,1,2,-1,-1,-1,0,0,0,0,-1,8,1,3,8,82,168325,0,0,0,-1,-1,-1,168324,0,0,0,-1,0,0,0,4,9,10,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,3,3,172759,842402,4024,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,4,3,2,2,3,2,1,2,3,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,2,2,2,89,2,1,1,1,1
"15",0,0,0,170738,302499,95671,0,4257,2359,52,21,8,48,31,43,0,0,0.104166667,0.104166667,5,19,5,0,0,0,6,5,20,762,693,5.939726027,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,1,3,4,5,3,-1,-1,-1,-1,4,1,1,1,99,0,2,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,1,3,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,48,3,12659843,674917,4732,0,3,0,0,0,1,1,0,4,1,1,1,0,0,6,0,0,1,2,2,2,2,2,1,1,3,4,2,2,3,2,2,3,2,2,2,1,1,2,5,1,4,1,2,2,2,2,1,1,5,4,1,1,2,2,2,1,2,1,3,3,3,3,3,2,6,2,42,2,1,1,1,1
"16",1,0,0,11110,290644,13450,3205,1058,2482,55,10,3,14,8,11,1,0.071428571,0.142857143,0.214285714,2,19,8,4,0,0,3,3,19,598,672,0.928767123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,3,1,2,4,4,-1,-1,-1,-1,4,1,1,1,12,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,-1,0,0,-1,-1,-1,10,1,98008,2430660,20470,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,1,3,2,2,2,1,1,1,1,1,3,4,2,2,3,2,2,3,2,2,2,1,1,2,5,1,4,1,2,2,2,2,1,1,3,1,1,1,2,2,2,1,1,1,2,2,2,3,3,2,2,2,17,2,1,1,1,1
"17",1,0,6,1199,0,0,1124,0,0,0,14,0,8,3,1,5,0.625,0.25,0.875,2,7,1,2,3,61,0,0,40,507,472,9.457534247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,3,3,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,3,1,2,6,2,34,1,1,1,1,1
"18",0,0,0,17074,0,21205,0,1704,0,27,19,4,30,15,23,0,0,0.233333333,0.233333333,7,14,8,0,0,0,3,7,30,651,575,4.62739726,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,31,13,1,1,1,0,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,2,4,2,2,2,2,3,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,2,34,1,1,1,1,1
"19",0,0,2,30751,695524,51321,501,1983,4792,23,9,1,46,29,35,5,0.108695652,0.130434783,0.239130435,6,16,11,4,5,27,0,0,33,570,598,7.364383562,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,181,1,3,5,5,4,0,-1,16,-1,6,1,1,1,81,67,2,7,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,6,14,25,0,0,0,0,1,1,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,4,9,79213,558090,4649,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,3,4,4,2,3,2,2,3,2,3,2,1,1,2,5,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,6,3,15,2,1,1,1,1
"20",0,0,1,25830,0,3069,0,1315,0,72,15,1,27,10,20,0,0,0.259259259,0.259259259,7,15,3,2,3,9,0,0,40,695,677,14.75890411,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,228,1,3,5,5,3,27,3,1800000,0,4,1,1,1,176,0,0,3,1,0,0,63,3,0,0,62,63,0,3,0,0,45,70,57366,57366,1,0,0,10000,0,0,0,3,64,65,0,0,0,0,1,1,1,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,0,0,8,1,0,0,5,3,0,1,1,4,1,0,0,17,1,2,1,1,1,1,1,1,1,1,3,4,4,2,3,2,2,3,2,3,3,4,2,2,5,1,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,2,3,2,2,2,1,1,1,1
"21",0,0,0,85642,0,12970,0,455,0,66,36,23,16,6,15,0,0,0.0625,0.0625,1,11,1,0,0,0,4,3,30,701,662,2.879452055,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,38,2,3,4,4,1,14,-1,90,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,2,2,3,3,1,2,1,1,2,5,1,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,2,2,2,2,2,1,1,1,1
"22",1,0,1,69265,2014012,174806,19942,3091,10837,11,22,9,30,18,21,2,0.066666667,0.233333333,0.3,7,18,22,16,34,78,2,5,19,676,646,4.21369863,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,48,1,2,5,5,4,65,-1,145,0,5,1,1,1,49,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,1,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,1,1,1,1,1,1,1,1,3,4,4,2,3,2,2,3,2,2,2,1,1,2,5,1,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3,2,45,2,1,1,1,1
